,HoursActual,HoursEstimate,HoursPredict
10224,28.0,10.0,2.2534468639650256
10225,4.0,4.0,1.7016247592925935
10226,7.5,7.0,1.9700872780985212
10227,2.5,3.0,1.4530110993933656
10228,1.0,1.0,0.7700883866583077
10229,6.24,7.0,2.1388470152840986
10230,5.37,3.5,1.4645776324447375
10231,2.75,7.0,1.9700872780985212
10232,2.75,7.0,1.9700872780985212
10233,2.5,2.5,1.6303343083621276
10234,1.5,1.5,1.3187994355141979
10235,2.5,1.5,1.028963807749495
10236,15.83,21.0,3.009946708712404
10237,1.75,1.0,0.7700883866583077
10238,10.0,2.0,1.5641227563566151
10239,10.0,2.0,1.5641227563566151
10240,10.0,2.0,1.5641227563566151
10241,10.0,2.0,1.5641227563566151
10242,10.0,2.0,1.5641227563566151
10243,12.0,10.0,2.2760197668343647
10244,112.64,14.0,2.6459287411256103
10245,112.64,14.0,2.6459287411256103
10246,112.64,14.0,2.6459287411256103
10247,3.56,7.0,2.148675249852381
10248,8.0,14.0,2.604606248898302
10249,3.0,3.0,1.627509268436881
10250,6.4,2.0,1.616651060648384
10251,6.4,2.0,1.616651060648384
10252,9.3,49.0,3.2360248075102196
10253,3.0,3.0,1.4530110993933656
10254,1.0,1.0,0.8176311765552459
10255,1.0,2.0,1.1648629314888959
10256,0.25,1.0,0.7700883866583077
10257,3.0,2.0,1.1598465074318431
10258,3.0,2.0,1.1598465074318431
10259,14.21,15.0,2.6076064026502017
10260,34.1,35.0,3.249503955840903
10261,2.25,0.5,0.4573019907003483
10262,6.1,35.0,3.249503955840903
10263,0.75,0.75,0.987529664714948
10264,35.5,21.0,2.7733339663234062
10265,0.5,0.5,0.4598189460227821
10266,82.42,35.0,3.197034222729763
10267,82.42,35.0,3.197034222729763
10268,82.42,35.0,3.197034222729763
10269,7.5,14.0,2.603282138779582
10270,2.5,2.5,1.6303343083621276
10271,3.5,3.5,1.6330808539492567
10272,19.5,28.0,3.167498372702593
10273,2.5,1.0,1.1623007182220761
10274,1.0,1.0,0.7637271718810306
10275,5.93,15.0,2.5871865036201354
10276,51.25,99.0,3.980103343064666
